sense_1,sense_2,mark,lang,features_1,features_2,sim_feature,pos_1,pos_2,sim_pos,fuzz,cosine
"['to calculate', 'count']",['to tell'],1,eng,"['intend', 'reason', 'predict', 'trust', 'evaluate']","['affirm', 'request', 'express', 'guess', 'inform', 'identify']",0,VERB,VERB,True,0.0,0.44846111536026
"['to calculate', 'count']",['to read'],1,eng,"['intend', 'reason', 'predict', 'trust', 'evaluate']","['publication', 'understand', 'audition', 'predict', 'talk', 'interpret', 'indicate', 'have']",1,VERB,VERB,True,0.0,0.4151769280433655
"['to calculate', 'count']",['to have opinion'],1,eng,"['intend', 'reason', 'predict', 'trust', 'evaluate']",[],0,VERB,VERB,True,0.0,0.37306803464889526
"['to grasp', 'seize']","['to get', 'obtain']",1,eng,"['influence', 'grasping', 'understand', 'capability', 'understanding', 'hold', 'take', 'overwhelm', 'hook', 'intrigue', 'assume']","['hurt', 'make', 'confuse', 'seize', 'undergo', 'touch', 'understand', 'effect', 'hear', 'get_even', 'catch', 'hit', 'change', 'score', 'attract', 'destroy', 'leave', 'sicken', 'change_state', 'buy', 'reproduce', 'mean', 'return', 'communicate', 'annoy', 'get', 'experience', 'transmit', 'exist', 'change', 'get']",1,VERB,VERB,True,0.0,0.8241658210754395
['hat'],['fool'],1,eng,"['headdress', 'function', 'wear', 'supply']","['consume', 'play', 'joke', 'deceive', 'clown', 'simpleton', 'victim']",0,NOUN,NOUN,True,0.0,0.6148079633712769
['sweet'],['lovely'],1,eng,"['dainty', 'taste', 'course', 'taste_property']","[""photographer's_model""]",0,NOUN,ADV,False,0.0,0.7686232924461365
"['to hear ', 'to listen']",['to understand'],1,eng,"['concentrate', 'pick_up', 'probe', 'perceive']","['understand', 'believe']",0,VERB,VERB,True,0.0,0.6126322746276855
['to remind'],['to be alike'],1,eng,['inform'],[],0,VERB,VERB,True,0.0,0.5542582869529724
['to hold'],['to last'],1,eng,"['protect', 'postpone', 'stronghold', 'appendage', 'see', 'cell', 'evaluate', 'direct', 'request', 'think', 'drink', 'feel', 'restrain', 'stop', 'confinement', 'be', 'affirm', 'capture', 'grasping', 'exist', 'control', 'disable', 'continue', 'enclosure', 'prevent', 'understanding', 'cover', 'aim', 'refer', 'resist', 'include', 'pause', 'relate', 'keep', 'have']","['measure', 'weight_unit', 'volume_unit', 'ending', 'end', 'holding_device', 'rank', 'activity']",0,VERB,VERB,True,0.0,0.4556915760040283
['to catch fire'],"['to fight', 'scuffle']",1,eng,['change_state'],"['controversy', 'boxing', 'military_action', 'advertise', 'conflict', 'contend', 'try', 'aggressiveness']",0,VERB,VERB,True,0.0,0.567247748374939
['to come'],"['to get', 'obtain']",1,eng,"['travel', 'happen', 'liquid_body_substance', 'run', 'result', 'exist', 'arrive', 'rank', 'originate', 'become', 'proceed', 'change', 'experience', 'be']","['hurt', 'make', 'confuse', 'seize', 'undergo', 'touch', 'understand', 'effect', 'hear', 'get_even', 'catch', 'hit', 'change', 'score', 'attract', 'destroy', 'leave', 'sicken', 'change_state', 'buy', 'reproduce', 'mean', 'return', 'communicate', 'annoy', 'get', 'experience', 'transmit']",1,VERB,VERB,True,0.0,0.8642085194587708
"['to get', 'obtain']","['can', 'to be able']",1,eng,"['hurt', 'make', 'confuse', 'seize', 'undergo', 'touch', 'understand', 'effect', 'hear', 'get_even', 'catch', 'hit', 'change', 'score', 'attract', 'destroy', 'leave', 'sicken', 'change_state', 'buy', 'reproduce', 'mean', 'return', 'communicate', 'annoy', 'get', 'experience', 'transmit', 'exist', 'change', 'get']","['room', 'preserve', 'plumbing_fixture', 'buoy', 'containerful', 'remove', 'body_part', 'container']",0,VERB,VERB,True,0.0,0.5915671586990356
"['to get', 'obtain']",['to manage to do smth'],1,eng,"['hurt', 'make', 'confuse', 'seize', 'undergo', 'touch', 'understand', 'effect', 'hear', 'get_even', 'catch', 'hit', 'change', 'score', 'attract', 'destroy', 'leave', 'sicken', 'change_state', 'buy', 'reproduce', 'mean', 'return', 'communicate', 'annoy', 'get', 'experience', 'transmit']",[],0,VERB,VERB,True,0.0,0.6020539402961731
['to reach'],"['to get', 'obtain']",1,eng,"['tug', 'communicate', 'capability', 'achieve', 'arrive', 'succeed', 'extent', 'move', 'transfer', 'limit', 'motion', 'be']","['hurt', 'make', 'confuse', 'seize', 'undergo', 'touch', 'understand', 'effect', 'hear', 'get_even', 'catch', 'hit', 'change', 'score', 'attract', 'destroy', 'leave', 'sicken', 'change_state', 'buy', 'reproduce', 'mean', 'return', 'communicate', 'annoy', 'get', 'experience', 'transmit']",1,VERB,VERB,True,0.0,0.8420420289039612
['to find'],"['to get', 'obtain']",1,eng,"['mature', 'insight', 'learn', 'perceive', 'reach', 'reason', 'change', 'pronounce', 'get', 'experience', 'act', 'spy', 'gestate']","['hurt', 'make', 'confuse', 'seize', 'undergo', 'touch', 'understand', 'effect', 'hear', 'get_even', 'catch', 'hit', 'change', 'score', 'attract', 'destroy', 'leave', 'sicken', 'change_state', 'buy', 'reproduce', 'mean', 'return', 'communicate', 'annoy', 'get', 'experience', 'transmit']",1,VERB,VERB,True,0.0,0.6953076124191284
"['to get', 'obtain']",['to contain'],1,eng,"['hurt', 'make', 'confuse', 'seize', 'undergo', 'touch', 'understand', 'effect', 'hear', 'get_even', 'catch', 'hit', 'change', 'score', 'attract', 'destroy', 'leave', 'sicken', 'change_state', 'buy', 'reproduce', 'mean', 'return', 'communicate', 'annoy', 'get', 'experience', 'transmit']","['include', 'restrain', 'defend', 'be']",0,VERB,VERB,True,0.0,0.6413191556930542
"['to get', 'obtain']",['to receive visitors'],1,eng,"['hurt', 'make', 'confuse', 'seize', 'undergo', 'touch', 'understand', 'effect', 'hear', 'get_even', 'catch', 'hit', 'change', 'score', 'attract', 'destroy', 'leave', 'sicken', 'change_state', 'buy', 'reproduce', 'mean', 'return', 'communicate', 'annoy', 'get', 'experience', 'transmit']",[],0,VERB,VERB,True,0.0,0.5431687235832214
"['to get', 'obtain']",['to become infected'],1,eng,"['hurt', 'make', 'confuse', 'seize', 'undergo', 'touch', 'understand', 'effect', 'hear', 'get_even', 'catch', 'hit', 'change', 'score', 'attract', 'destroy', 'leave', 'sicken', 'change_state', 'buy', 'reproduce', 'mean', 'return', 'communicate', 'annoy', 'get', 'experience', 'transmit']",[],0,VERB,VERB,True,0.0,0.5241023898124695
"['to get', 'obtain']",['must'],1,eng,"['hurt', 'make', 'confuse', 'seize', 'undergo', 'touch', 'understand', 'effect', 'hear', 'get_even', 'catch', 'hit', 'change', 'score', 'attract', 'destroy', 'leave', 'sicken', 'change_state', 'buy', 'reproduce', 'mean', 'return', 'communicate', 'annoy', 'get', 'experience', 'transmit']","['grape_juice', 'necessity', 'staleness']",0,VERB,VERB,True,0.0,0.6410897970199585
['free'],"['can', 'to be able']",1,eng,"['issue', 'pass', 'generate', 'remove', 'forgive', 'people']","['room', 'preserve', 'plumbing_fixture', 'buoy', 'containerful', 'remove', 'body_part', 'container']",1,ADJ,VERB,False,0.0,0.35440340638160706
"['to get', 'obtain']",['to wait'],1,eng,"['hurt', 'make', 'confuse', 'seize', 'undergo', 'touch', 'understand', 'effect', 'hear', 'get_even', 'catch', 'hit', 'change', 'score', 'attract', 'destroy', 'leave', 'sicken', 'change_state', 'buy', 'reproduce', 'mean', 'return', 'communicate', 'annoy', 'get', 'experience', 'transmit']","['pause', 'act', 'inactivity', 'work']",0,VERB,VERB,True,0.0,0.6633958220481873
"['to hear ', 'to listen']",['to obey'],1,eng,"['concentrate', 'pick_up', 'probe', 'perceive']",['adjust'],0,VERB,VERB,True,0.0,0.6251504421234131
"['to see', 'to look at']",['to have opinion'],1,eng,"['watch', 'perceive', 'receive', 'consort', 'tour', 'bet', 'think', 'undergo', 'verify', 'understand', 'accompany', 'visit', 'imagine', 'detect', 'consider', 'care', 'seat', 'see', 'experience']",[],0,VERB,VERB,True,0.0,0.5557988882064819
"['to see', 'to look at']","['to try', 'to attempt']",1,eng,"['watch', 'perceive', 'receive', 'consort', 'tour', 'bet', 'think', 'undergo', 'verify', 'understand', 'accompany', 'visit', 'imagine', 'detect', 'consider', 'care', 'seat', 'see', 'experience', 'analyze', 'think_about']","['consume', 'wear', 'afflict', 'decide', 'melt', 'pain', 'probe', 'act', 'evaluate', 'activity', 'crime', 'act', 'activity', 'initiate']",0,VERB,VERB,True,0.0,0.6537925601005554
"['to see', 'to look at']",['to wait'],1,eng,"['watch', 'perceive', 'receive', 'consort', 'tour', 'bet', 'think', 'undergo', 'verify', 'understand', 'accompany', 'visit', 'imagine', 'detect', 'consider', 'care', 'seat', 'see', 'experience']","['pause', 'act', 'inactivity', 'work']",0,VERB,VERB,True,0.0,0.6490831971168518
['to fall down'],['to meet accidentally'],1,eng,['change_posture'],[],0,VERB,VERB,True,0.0,0.5267568230628967
['to meet'],['to like'],1,eng,"['athletic_contest', 'interact', 'cope', 'provide', 'match', 'experience', 'meet', 'have']","['see', 'kind', 'desire']",0,VERB,VERB,True,0.0,0.609530508518219
['to find'],['to meet'],1,eng,"['mature', 'insight', 'learn', 'perceive', 'reach', 'reason', 'change', 'pronounce', 'get', 'experience', 'act', 'spy', 'gestate']","['athletic_contest', 'interact', 'cope', 'provide', 'match', 'experience', 'meet', 'have']",1,VERB,VERB,True,0.0,0.7151099443435669
['to taste'],['to like'],1,eng,"['consume', 'perceive', 'modality', 'sensation', 'liking', 'sensing', 'exteroception', 'taste', 'discrimination', 'identify', 'experience', 'know', 'small_indefinite_quantity']","['see', 'kind', 'desire']",0,VERB,VERB,True,0.0,0.7470748424530029
['to smile'],['to like'],1,eng,"['express', 'grimace', 'facial_expression']","['see', 'kind', 'desire']",0,VERB,VERB,True,0.0,0.6036764979362488
['to want'],['to love'],1,eng,"['need', 'poverty', 'miss', 'necessity', 'demand', 'search', 'be', 'desire']","['emotion', 'like', 'copulate', 'sexual_desire', 'sexual_activity', 'object', 'lover', 'score', 'love']",0,VERB,VERB,True,0.0,0.5810296535491943
"['to see', 'to look at']",['to seem'],1,eng,"['watch', 'perceive', 'receive', 'consort', 'tour', 'bet', 'think', 'undergo', 'verify', 'understand', 'accompany', 'visit', 'imagine', 'detect', 'consider', 'care', 'seat', 'see', 'experience']","['be', 'appear']",0,VERB,VERB,True,0.0,0.7992579340934753
['dog'],['seal'],1,eng,"['pack', 'domestic_animal', 'chap', 'canis', 'villain', 'support', 'catch', 'sausage', 'unpleasant_woman', 'pursue', 'canine']","['pinniped_mammal', 'fastener', 'device', 'naval_special_warfare', 'affix', 'coating', 'decide', 'fur', 'bluejacket', 'hunt', 'stamp', 'award', 'coat', 'close']",0,NOUN,NOUN,True,0.0,0.4801384210586548
['belly'],['location of emotions'],1,eng,"['adipose_tissue', 'bulge', 'swell', 'body_part', 'inside', 'underpart']",[],0,ADV,NOUN,False,0.0,0.18204285204410553
['air'],['weather'],1,eng,"['wind', 'music', 'dry', 'element', 'travel', 'tell', 'expose', 'quality', 'gas', 'publicize', 'refresh', 'region', 'medium']","['decay', 'lean', 'atmospheric_phenomenon', 'sail', 'defy']",0,NOUN,NOUN,True,0.0,0.5970875024795532
"['to walk', 'wander']","['to loaf', 'do nothing']",1,eng,"['play', 'travel', 'compel', 'career', 'pace', 'accomplishment', 'traverse', 'locomotion', 'behave', 'path', 'consociate', 'gait', 'carriage', 'accompany', 'score', 'proceed', 'tell', 'travel', 'deceive']","['bread', 'be', 'food', 'idle']",0,VERB,VERB,True,0.0,0.415951132774353
['memory'],['respect'],1,eng,"['representation', 'hardware', 'cognitive_psychology', 'faculty', 'memory_device', 'basic_cognitive_process']","['honor', 'courtesy', 'filial_duty', 'politeness', 'attitude', 'detail', 'affection', 'accept', 'see']",0,NOUN,NOUN,True,0.0,0.40948736667633057
['time'],['weather'],1,eng,"['rhythmicity', 'moment', 'determine', 'quantify', 'time_period', 'reading', 'term', 'schedule', 'case', 'adjust', 'experience', 'dimension', 'attribute']","['decay', 'lean', 'atmospheric_phenomenon', 'sail', 'defy']",0,NOUN,NOUN,True,0.0,0.6581990718841553
['wind'],['window'],1,eng,"['influence', 'musical_instrument', 'intertwine', 'guidance', 'weather', 'travel', 'smell', 'tighten', 'talk', 'move', 'raise', 'reflex', 'exhalation', 'be', 'rotation']","['framework', 'opening', 'time_period', 'pane', 'panel', 'display']",0,NOUN,NOUN,True,0.0,0.5432219505310059
['sharp'],['spicy'],1,eng,"['sewing_needle', 'musical_notation']",[],0,ADJ,NOUN,False,0.0,0.5273477435112
['to sting'],['spicy'],1,eng,"['hurt', 'force', 'swindle', 'pain', 'ache', 'injury', 'pierce']",[],0,VERB,NOUN,False,0.0,0.5082918405532837
['boy'],['servant'],1,eng,"['male_offspring', 'man', 'male', 'black_man']","['subordinateness', 'worker']",0,NOUN,NOUN,True,0.0,0.4628216624259949
['right'],['competent'],1,eng,"['abstraction', 'turn', 'interest', 'justice', 'position', 'hand', 'change', 'change_by_reversal', 'tract', 'change_posture', 'faction']",[],0,NOUN,NOUN,True,0.0,0.4575407803058624
['correct'],['right'],1,eng,"['balance', 'treat', 'descend', 'punish', 'call_on_the_carpet', 'change_by_reversal', 'change']","['abstraction', 'turn', 'interest', 'justice', 'position', 'hand', 'change', 'change_by_reversal', 'tract', 'change_posture', 'faction']",1,NOUN,NOUN,True,0.0,0.7970982789993286
['straight'],['right'],1,eng,"['poker_hand', 'person', 'section']","['abstraction', 'turn', 'interest', 'justice', 'position', 'hand', 'change', 'change_by_reversal', 'tract', 'change_posture', 'faction']",0,NOUN,NOUN,True,0.0,0.5815845727920532
['straight'],['correct'],1,eng,"['poker_hand', 'person', 'section']","['balance', 'treat', 'descend', 'punish', 'call_on_the_carpet', 'change_by_reversal', 'change']",0,NOUN,NOUN,True,0.0,0.4351705312728882
['summer'],['year'],1,eng,"['time_of_life', 'spend', 'season']","['time_period', 'gathering']",0,NOUN,NOUN,True,0.0,0.6604365110397339
['storm'],['winter'],1,eng,"['assault', 'atmospheric_phenomenon', 'blow', 'penetrate', 'attack', 'act', 'disturbance']","['spend', 'season']",0,NOUN,NOUN,True,0.0,0.3943069279193878
"['to burst', 'break']",['to die'],1,eng,"['jump', 'fire', 'express_emotion', 'emerge', 'break', 'change_integrity', 'happening', 'change_of_integrity', 'activity', 'have']","['suffer', 'play', 'cut_out', 'cutter', 'cube', 'change_state', 'feel', 'break_down', 'change', 'ache', 'disappear', 'shaping_tool']",0,VERB,VERB,True,0.0,0.6651982665061951
['noon'],['south'],1,eng,['hour'],"['cardinal_compass_point', 'location', 'direction']",0,NOUN,NOUN,True,0.0,0.4375200569629669
['to make noise'],['to speak'],1,eng,['sound'],"['sound', 'communicate']",1,VERB,VERB,True,0.0,0.5204105973243713
['light'],['comprehensible'],1,eng,"['lighten', 'condition', 'position', 'physical_property', 'ignite', 'fall', 'actinic_radiation', 'insight', 'friend', 'burn', 'scene', 'visual_property', 'illumination', 'ethical_motive', 'visual_signal', 'device', 'land', 'public_knowledge', 'source_of_illumination', 'expression', 'vitality', 'descend']",[],0,NOUN,ADJ,False,0.0,0.46512675285339355
['morning'],['tomorrow'],1,eng,"['time_period', 'farewell', 'greeting', 'hour', 'start']","['day', 'future']",0,NOUN,NOUN,True,0.0,0.773634672164917
['hot'],['recent'],1,eng,[],[],0,ADJ,ADJ,True,0.0,0.31891122460365295
['when'],['if'],1,eng,[],[],0,ADV,ADP,False,0.0,0.7333753705024719
['part'],['destiny'],1,eng,"['relation', 'thing', 'leave', 'portrayal', 'duty', 'attempt', 'location', 'line', 'concern', 'tune', 'concept', 'assets', 'object', 'move', 'change']","['causal_agent', 'happening', 'condition']",0,NOUN,NOUN,True,0.0,0.3643667697906494
['flower'],['colour'],1,eng,"['angiosperm', 'time_period', 'develop', 'reproductive_structure']","['influence', 'timbre', 'material', 'appearance', 'kind', 'interest', 'decorate', 'apologize', 'change', 'visual_property', 'race', 'affect']",0,NOUN,NOUN,True,0.0,0.4630860686302185
['sweet'],['fresh'],1,eng,"['dainty', 'taste', 'course', 'taste_property']",[],0,NOUN,ADJ,False,0.0,0.5489361882209778
['spruce'],['abies'],1,eng,"['groom', 'picea', 'conifer', 'fancify', 'wood']","['right', 'gymnosperm_genus', 'pinaceae']",0,NOUN,NOUN,True,0.0,0.6282564401626587
['morning'],['spring'],1,eng,"['time_period', 'farewell', 'greeting', 'hour', 'start']","['jump', 'season', 'unwrap', 'geological_formation', 'elastic_device', 'grow', 'beginning', 'move', 'become', 'elasticity']",0,NOUN,NOUN,True,0.0,0.4089457094669342
"['branch', 'twig']",['willow'],1,eng,"['diverge', 'division', 'subfigure', 'stalk', 'stream', 'grow', 'projection', 'consequence']","['salix', 'tree', 'textile_machine']",0,NOUN,NOUN,True,0.0,0.4812449812889099
['to listen'],['to keep silent'],1,eng,"['concentrate', 'obey', 'perceive']",[],0,VERB,VERB,True,0.0,0.5648214221000671
"['to burst', 'break']",['to be angry'],1,eng,"['jump', 'fire', 'express_emotion', 'emerge', 'break', 'change_integrity', 'happening', 'change_of_integrity', 'activity', 'have']",[],0,VERB,VERB,True,0.0,0.631549060344696
"['to turn', 'rotate']",['to distort'],1,eng,"['turn', 'injure', 'till', 'curve', 'discolor', 'change_of_course', 'activity', 'performance', 'development', 'walk', 'favor', 'part', 'change', 'transform', 'movement', 'change_shape', 'travel', 'shape', 'do', 'send', 'change_state', 'move', 'change_of_direction', 'shift', 'rotation', 'operate', 'aim', 'appeal', 'get', 'senesce', 'transmit']","['change_shape', 'shape', 'misrepresent', 'affect', 'twist']",1,VERB,VERB,True,0.0,0.6593917608261108
"['to turn', 'rotate']",['to translate'],1,eng,"['turn', 'injure', 'till', 'curve', 'discolor', 'change_of_course', 'activity', 'performance', 'development', 'walk', 'favor', 'part', 'change', 'transform', 'movement', 'change_shape', 'travel', 'shape', 'do', 'send', 'change_state', 'move', 'change_of_direction', 'shift', 'rotation', 'operate', 'aim', 'appeal', 'get', 'senesce', 'transmit']","['paraphrase', 'repeat', 'determine', 'understand', 'move', 'change', 'equal', 'be', 'transmit']",1,VERB,VERB,True,0.0,0.40071094036102295
"['to pull', 'to draw']",['inclination to smth'],1,eng,"['injure', 'rein', 'remove', 'act', 'advantage', 'hit', 'drive', 'device', 'force', 'row', 'effort', 'propulsion', 'strip', 'move', 'injury', 'pull', 'side', 'inhalation', 'tear']",[],0,VERB,NOUN,False,0.0,0.5346077084541321
"['to pull', 'to draw']",['to endure'],1,eng,"['injure', 'rein', 'remove', 'act', 'advantage', 'hit', 'drive', 'device', 'force', 'row', 'effort', 'propulsion', 'strip', 'move', 'injury', 'pull', 'side', 'inhalation', 'tear']","['last', 'measure', 'permit', 'continue', 'experience', 'defy']",0,VERB,VERB,True,0.0,0.6229243278503418
"['to pull', 'to draw']",['to row'],1,eng,"['injure', 'rein', 'remove', 'act', 'advantage', 'hit', 'drive', 'device', 'force', 'row', 'effort', 'propulsion', 'strip', 'move', 'injury', 'pull', 'side', 'inhalation', 'tear']","['dispute', 'layer', 'sequence', 'array', 'line', 'table', 'strip', 'sport', 'boat']",1,VERB,VERB,True,0.0,0.608727753162384
['to sweep'],['to distract'],1,eng,"['cover', 'run', 'scope', 'win', 'victory', 'involve', 'oar', 'wipe', 'wield', 'move', 'clean', 'cleaner', 'motion']","['confuse', 'disturb']",0,VERB,VERB,True,0.0,0.5350471138954163
"['to call', 'to call for']",['to cause'],1,eng,"['option', 'postpone', 'utterance', 'declare', 'animal_communication', 'guess', 'demand', 'indicate', 'request', 'awaken', 'instruction', 'decision', 'stop', 'ask', 'inclination', 'meet', 'play', 'address', 'entice', 'visit', 'read', 'telecommunicate', 'challenge', 'telephone', 'label', 'utter', 'see', 'order']","['make', 'venture', 'proceeding', 'origin', 'justification', 'physical_entity']",0,VERB,VERB,True,0.0,0.4670747220516205
['wet'],['raw'],1,eng,"['make', 'wetness', 'change']",['nakedness'],0,NOUN,NOUN,True,0.0,0.5669248104095459
['wet'],['inexperienced'],1,eng,"['make', 'wetness', 'change']",[],0,NOUN,ADJ,False,0.0,0.40282198786735535
['wet'],['weak'],1,eng,"['make', 'wetness', 'change']",[],0,NOUN,ADJ,False,0.0,0.5086011290550232
['lightning'],['quick'],1,eng,"['atmospheric_electricity', 'flash']",['area'],0,VERB,NOUN,False,0.0,0.3830021023750305
['poor'],['desert'],1,eng,['people'],"['flee', 'tract', 'biome', 'leave']",0,ADJ,NOUN,False,0.0,0.3812716603279114
['to go out'],['to cost'],1,eng,"['leave', 'end', 'move', 'consort', 'change']","['necessitate', 'value', 'be', 'outgo']",0,VERB,VERB,True,0.0,0.5163939595222473
['to go out'],"['to fade', 'lose colour']",1,eng,"['leave', 'end', 'move', 'consort', 'change']","['termination', 'golf_stroke', 'devolve', 'weaken', 'disappear']",0,VERB,VERB,True,0.0,0.6050417423248291
['to go out'],['to dislocate'],1,eng,"['leave', 'end', 'move', 'consort', 'change']","['move', 'displace']",1,VERB,VERB,True,0.0,0.6986333131790161
['to go out'],['to become infected'],1,eng,"['leave', 'end', 'move', 'consort', 'change']",[],0,VERB,VERB,True,0.0,0.47129353880882263
['inflated'],['proud'],1,eng,"['reduce', 'increase', 'change', 'expand']",[],0,VERB,NOUN,False,0.0,0.47851845622062683
['cold'],['to fear'],1,eng,"['temperature', 'communicable_disease', 'respiratory_disease', 'vasoconstrictor']","['respect', 'emotion', 'regret', 'anxiety', 'worry']",0,NOUN,VERB,False,0.0,0.3700314462184906
"['hard', 'solid']",['obstinate'],1,eng,[],['persevere'],0,ADJ,NOUN,False,0.0,0.6383384466171265
"['to search', 'to look for']",['to ask'],1,eng,"['higher_cognitive_process', 'examine', 'operation', 'investigation', 'examination', 'investigate', 'activity']","['request', 'address', 'communicate', 'demand', 'give_voice']",0,VERB,VERB,True,0.0,0.6129539608955383
['top'],['beginning'],1,eng,"['turn', 'excel', 'complete', 'topographic_point', 'plaything', 'region', 'platform', 'culminate', 'hit', 'canvas_tent', ""woman's_clothing"", 'lie', 'pass', 'intensity', 'snip', 'supply', 'covering', 'side', 'reach', 'degree']","['change_of_state', 'part', 'achieve', 'point', 'talk', 'happening', 'act', 'be']",0,NOUN,VERB,False,0.0,0.46571576595306396
['white'],['clever'],1,eng,"['white_race', 'achromatic_color', 'discolor', 'trouser', 'man', 'person', 'ingredient']",[],0,ADJ,NOUN,False,0.0,0.322295218706131
['white'],['silver'],1,eng,"['white_race', 'achromatic_color', 'discolor', 'trouser', 'man', 'person', 'ingredient']","['plate', 'precious_metal', 'gray', 'trophy', 'conductor', 'silverware', 'discolor', 'noble_metal', 'color']",1,ADJ,NOUN,False,0.0,0.4582085609436035
['white'],['iron'],1,eng,"['white_race', 'achromatic_color', 'discolor', 'trouser', 'man', 'person', 'ingredient']","['golf_club', 'metallic_element', 'press', 'implement', 'home_appliance']",0,ADJ,NOUN,False,0.0,0.285841166973114
"['to mix', 'stir']","['to worry', 'be agitated']",1,eng,"['manipulate', 'compound', 'change_integrity', 'add', 'combination', 'concoction', 'change', 'combining', 'make', 'arouse', 'sensitize', 'move', 'commotion', 'affect', 'disturbance', 'agitation', 'work']","['rub', 'perturb', 'negative_stimulus', 'incise', 'anxiety', 'mind']",0,VERB,VERB,True,0.0,0.4631308615207672
['thief'],['enemy'],1,eng,['criminal'],"['rival', 'enemy', 'adversary', 'people', 'military_unit']",0,NOUN,NOUN,True,0.0,0.5423060059547424
['lean'],['greedy'],1,eng,"['bend', 'position', 'move', 'trust', 'be', 'put']",[],0,NOUN,NOUN,True,0.0,0.5249306559562683
['time'],['opportunity'],1,eng,"['rhythmicity', 'moment', 'determine', 'quantify', 'time_period', 'reading', 'term', 'schedule', 'case', 'adjust', 'experience', 'dimension', 'attribute']",['possibility'],0,NOUN,NOUN,True,0.0,0.4960654377937317
['dry'],['emotionless'],1,eng,"['change', 'reformer']",[],0,NOUN,NOUN,True,0.0,0.38208523392677307
['to shake'],['to distort'],1,eng,"['arouse', 'gesticulate', 'drink', 'escape', 'weaken', 'acknowledgment', 'note', 'move', 'reflex', 'move_involuntarily', 'vibrate', 'move_back_and_forth', 'change', 'building_material', 'agitation']","['change_shape', 'shape', 'misrepresent', 'affect', 'twist']",0,VERB,VERB,True,0.0,0.6274360418319702
['oar'],"['shoulder-blade', 'scapula']",1,eng,['implement'],[],0,NOUN,NOUN,True,0.0,0.324249267578125
['to throw'],['to leave'],1,eng,"['turn', 'engage', 'remove', 'direct', 'put', 'opportunity', 'upset', 'be', 'propel', 'movement', 'shape', 'send', 'propulsion', 'express', 'move', 'communicate', 'bedclothes', 'gambling', 'dislodge']","['make', 'yield', 'tell', 'permission', 'pass', 'produce', 'lose', 'refrain', 'move', 'time_off', 'departure', 'change', 'give', 'have']",1,VERB,VERB,True,0.0,0.6205754280090332
