sense_1,sense_2,main_cl
оставлять оставить кого что где,оставлять оставить забывать забыть позабыть что где,2926
оставлять оставить кого что где,оставлять оставить после себя кого что напр после смерти,2679
сходить сойти с чего по направлению к говорящему,уходить уйти откуда,3022
сходить сойти с чего по направлению к говорящему,увольняться уволиться с работы,2351
отцеплять отцепить что действуя по направлению к говорящему,перерезать перерезать что мгновенно,2376
показывать показать демонстрировать продемонстрировать что,указывать указать показывать показать что,1105
поднимать поднять на ноги кого что,поднимать поднять с постели кого будить разбудить кого,2524
оставлять оставить что в чём где,пускать пустить кого на квартиру,2963
оставлять оставить кого что в чем где,сохранять сохранить в памяти что,2945
бросать бросить кидать кинуть что вну тр ь чего л,только с не считаться с кем чем,2647
садиться сесть во что,селиться поселиться где,2951
выводить вывести кого откуда по направлению к говорящему,уводить увести сводить свести со двора по направлению к говорящему,2696
подавать подать что по направлению к говорящему,передавать передать в эфир,1865
подавать подать что по направлению к говорящему,переводить перевести сводить свести что,1849
вытаскивать вытащить выдвигать выдвинуть что к себе,выгонять выгнать кого откуда по направлению к говорящему,2515
раздаваться раздаться об эхе,доноситься донестись о звуках,1132
выходить выйти со двора,восходить взойти о небесных светилах,2540
отпускать отпустить распускать распустить кого,пускать пустить что,2977
отпускать отпустить распускать распустить кого,отправлять отправить что,2977
поворачивать повернуть кого что вновь,заставлять заставить вернуться возвращать вернуть кого,2651
поворачивать повернуть кого что вновь,отдавать отдать обратно возвращать вернуть что,2056
выворачивать вывернуть что наизнанку,перелицовывать перелицевать что,1963
переходить перейти что через что по направлению к говорящему,перешагивать перешагнуть что через что по н аправлен ию к гово ря щему,2585
добывать добыть что х ахъврачва добывать каменный уголь,выкапывать выкопать что к ар т оф г ац хра выкопать картошку,2442
добывать добыть что х ахъврачва добывать каменный уголь,вырывать вырвать выдёргивать выдернуть что ац ла г ацКхра вырвать дерево с корнем,2133
добывать добыть что х ахъврачва добывать каменный уголь,выдёргивать выдернуть что из чего астог чва г ац хра выдёргивать сено из стога,2442
добывать добыть что х ахъврачва добывать каменный уголь,срывать сорвать что наша сорвать огурец,1739
добывать добыть что х ахъврачва добывать каменный уголь,доставать достать что из под чего ачемодан ачвартагъвы йг ац хра достать чемодан из под кровати,2443
добывать добыть что х ахъврачва добывать каменный уголь,убирать убрать что из под чего отставлять отставить в сторону что апщырх а абжвами йг ац хра убрать ведро из под водосточной трубы,1739
садиться сесть,приземляться приземлиться,1463
останавливать остановить кого что,приостанавливать приостановить напр работу,2985
останавливать остановить кого что,приостанавливать приостановить напр работу,2985
срывать сорвать отрывать оторвать что рывком,вырывать вырвать выхватывать выхватить изо рта что,2134
сухой засохший о дереве,сухой чёрствый о хлебе,447
тёмно серый,коричневый,936
быть темно серым,быть коричневым,936
тёмно серый,тёмно коричневый,936
бегать бежать побежать,течь бежать о воде,2554
одетый,одевать одеть кого что,2899
и глухой,лингв глухой,126
и глухой,глухой тихни,123
крыло крылья,плечо плечи,417
шум,голос,77
вырастать вырасти,становиться стать большим взрослым взрослеть повзрослеть,1133
неперех садиться сесть рядом с кем чем,неперех сидеть у чьей л постели,2777
латунь,латунный,279
латунь,латунный,279
латунь,бронзовый,279
латунь,бронзовый,279
латунь,бронзовый,279
виноград,изюм,4
река,водный,957
река,речной,957
вода, река,957
бедро у человека,бедренный,413
бедро у человека,тазовый,404
земляника,тутовые ягоды,5
земляника,тутовые ягоды,5
земляника,ягодный,5
земляника,ягодный,5
земляника,земляничный,5
стельная корова,отёл,976
ягодица,тазовый,14
деспотичный,упрямый,602
воедино,так настолько,69
уметь суметь читать,уметь суметь учиться заниматься где,1274
вред,вред вредность,625
нигде,никуда,720
никуда,ниоткуда,1079
суметь остановить кого что,останавливать остановить кого что для кого,2652
уметь писать,писать налисать что для кого,2615
уметь суметь охранить что,охранить что для кого,2653
уметь говорить,уметь суметь сказать что,1258
зелёного цвета зелёный,зеленоватый,1039
то находится в чем,то лежит в чём,695
пень,чурбан,334
кондитер,кондитерская,18
сверстник ровесник сверстница ровесница,возраст,755
покрывало для постели,попона,323
смотреть посмотреть сверху вниз,взглядывать взглянуть смотреть посмотреть на кого что,1111
место пропажи,место гибели,901
задание,обязательство,233
то что спрятано,клад,209
редкий,скупой,90
тесать вытесать что и без доп,строгать выстрогать что и без доп,2124
тесать вытесать что и без доп,строгать выстрогать что и без доп,2124
выходить выйти из среды,отделяться отделиться от семьи,2699
выходить выйти из среды,выходить выйти из состава чего л,2976
выходить выйти из среды,выходить выйти из состава чего л,2976
слякоть,жижа,40
весёлость веселье,бодрость,3
рассыпать рассыпать что,трясти обтрясти что,1450
обмазывать обмазать что изнутри,замазывать замазать дыру щель и л,2021
поздний,младший в семье,876
быть поздним о фруктах,быть младшим в семье,450
возвышающийся над чем,остроконечный,493
кобель,самец из семейства собачьих и кошачьих а также в составе зоологических названий,1071
закаливание,терпеливый,40
пристройка к дому,веранда,1080
сука самка собаки,самка из семейства собачьих и кошачьих а также в составе зоологических названий,1071
лёгкий нетяжёлый,быстрый скорый,512
рабство,крепостничество,626
грязный загрязнённый,нечистоплотный,535
высота,шкар крутизна,977
становиться стать непрочным,слабеть ослабеть хиреть захиреть,1211
рука,часть руки от плеча до кисти плечо с предплечьем з мачв,2586
сосна,сосновый,10
рог рога,пластмасса,335
рог рога,роговой,978
посевы гвалз мхы посевы пшеницы,урожай,877
дрова,бревно,431
дрова,бревно,431
прям сворачивать свернуть с дороги,портиться испортиться о характере,2654
копаться ковыряться в чём,делать сделать что небрежно кое как спустя рукава,1691
шарить,воровать,660
держать в руке что,иметь в подчинении кого что,2895
держать в руке что,иметь в подчинении кого что,2895
наклонять наклонить склонять склонить напр голову ветку,снижать снизить цены,1835
наклонять наклонить склонять склонить напр голову ветку,понижать понизить кого напр в должности,1835
друг товарищ,сверстник гьн апшып поел не беречь,3066
путешествен йннажьхт теленок бросил сосать ник,бродячий бездом опр новаторский,1836
