sense_1,sense_2,mark
"to pull, to draw","to get a cramp, spasm",1
"to pull, to draw",to thresh (grain),1
to sting,to sew,1
to sweep,to refuse,1
dust,hail,1
to become curved,to die,1
to strew,to hinder,1
to open (tr.),to waste,1
to open (tr.),to find,1
to open (tr.),to rest,1
"custom, habit",menstruation,1
shoulder,support (n.),1
<insect>,talkative person,1
to flow,to crawl,1
to flow,meteor shower,1
forehead,front part,1
god,very,1
mother,main,1
"naked, bare","deprived of, lacking",1
pear,fool,1
to throw,to begin,1
to throw,to tell lie,1
foot/leg,"step (of a staircase, step-ladder)",1
foot/leg,"step, pace",1
<fruit>,bullet,1
to bind,to depend,1
to look,to depend,1
to step on,to attack,1
to run out (of smth),"to charm, to delight",1
horned,to be unfaithful (to one's husband or wife),1
low (location),bad,1
foot/leg,Jack (playing card),1
belly,generation,1
faeces,bad,1
to spoil,to deflorate,1
to find,"to learn, find out",1
to find,to reach,1
to rotate (tr.),to dislocate (of a joint),1
to go up,to rise (of heavenly bodies),1
to go up,to stop (intr.),1
light (of colour),honest,1
"to raise, lift (tr.)","to present, gift",1
"to raise, lift (tr.)",to praise,1
"to raise, lift (tr.)",pregnant,1
"to raise, lift (tr.)","to grasp, seize",1
"to raise, lift (tr.)",to feel sick,1
shallow,light (of colour),1
taste (n.),clever,1
"footprint, track","sign, designation",1
"footprint, track",scar,1
oil (food),"petroleum, oil",1
sweet (taste),to be indulgent,1
to float,"to recall, recollect",1
to float,cheerful mood,1
to float,to sway,1
thin (of an object),light (of colour),1
"to beat, hit",to be surprised,1
vessel,ability,1
hand/arm,"skilful, dexterous",1
"to raise, lift (tr.)",to plough,1
to stand up,to happen,1
to fall down,to decrease drastically,1
to go down,to become decrepit,1
to wound (tr.),to offend (tr.),1
"to beat, hit",to steal,1
dream (during sleep),daydream (n.),1
"to drive, to force to move on","to search, to look for",1
to go down,to lack,1
strong,thick,1
to fence,to defend,1
strong,numerous,1
strong,good,1
grey,heavy (of weight),1
to strew,to pour,1
soon,recently,1
soon,almost,1
weak,bad,1
weak,rare,1
to touch,to offend (tr.),1
to touch,to evoke (a feeling),1
to touch,to become infected,1
to be enough,"can, to be able",1
to cast out,"to care for, look after",1
back (body part),support (n.),1
"joint, articulation",sapling,1
heavy (of weight),difficult,1
heavy (of weight),insulting,1
to put into the ground,to bury,1
to get dry,to feel thirsty,1
to read,"to learn, study",1
"branch, twig",sleeve,1
sleeve,branch (of a river),1
moss,"gum, gingiva",1
to hide (tr.),to steal,1
frozen,beautiful,1
sweet (taste),tasty,1
necessary,suitable,1
to stop (tr.),to appoint (to a position),1
to make sit,to marry off (a daughter),1
to throw,to stop doing smth.,1
"to pull, to draw",to smoke,1
"to beat, hit",to play (a musical instrument),1
to see/to look at,to tell a person's fortune,1
to see/to look at,"to care for, look after",1
thigh / hip,back (body part),1
mud,swamp,1
mud,faeces,1
shine (n.),lightning,1
beard,chin,1
eyebrow,eyelash,1
good,"kind, good-hearted",1
beautiful,good,1
arc,rainbow,1
misfortune,poverty,1
time,hour,1
inflated,empty,1
empty,idle,1
inflated,false,1
ford,watering place (for animals),1
to press down,to choke,1
to choke,to sink (tr.),1
to choke,to vomit,1
goal frame (sport),goal (sport result),1
coast,hill,1
period of time,age,1
time,24 hours,1
period of time,year,1
to ache,it's a pity,1
hump (of a person or camel),back (body part),1
"shoulder-blade, scapula",hump (of a person or camel),1
wheel,vehicle,1
to emit smoke,to smoke,1
beautiful,red,1
to love,to kiss,1
to catch,to hunt,1
place,town,1
"box, container",chest (body part),1
darkness,black cloud,1
quick,insolent,1
quick,unexpected,1
<vessel>,pelvis,1
trunk (of a tree),stump (of tree),1
"little, small",slow (adj.),1
shoulder,branch (of a river),1
shoulder,mountain slope,1
early,morning,1
turnip (Brassica rapa var. rapa),beet (Beta vulgaris),1
melon (Cucumis melo),pumpkin,1
water-melon (Cucurbita citrullus),pumpkin,1
water-melon (Cucurbita citrullus),melon (Cucumis melo),1
torso,corpse,1
"cover, lid",eyelid,1
shoulder,back (body part),1
to dream while sleeping,to seem,1
lip,mouth,1
horn,corner,1
word,letter (character),1
life,belly,1
enemy,murderer,1
enemy,cunning person,1
straight,simple,1
mother,womb,1
to think,to speak,1
face,eye,1
eyelid,eyebrow,1
eye,eyelid,1
eye,front part,1
eye,before,1
eye,"opening, hole",1
eye,window,1
eye,"cavity, hollow",1
"stone, rock",eye,1
eye,small object,1
eye,headlight (of a car),1
eye,wheel,1
eye,"spot, stain",1
eye,oil particle,1
eye,"spot, pip (on playing cards or dice)",1
eye,spectacles,1
eye,fried eggs,1
eye,loop,1
eye,bud (on a twig),1
eye,peephole,1
eye,"spring, fountain",1
eye,whirlpool,1
eye,eye of typhoon,1
eye,burner,1
eye,vision,1
eye,look (n.),1
eye,opinion,1
eye,supervision,1
eye,evil eye,1
eye,observer,1
mouth,ravine,1
mouth,mouth (of a river),1
mouth,face,1
mouth,beak,1
mouth,impudence,1
mouth,"opening, hole",1
mouth,edge,1
mouth,"instrument, tool",1
mouth,fast (n.),1
mouth,eater,1
mouth,herald,1
mouth,speech,1
nose,cape,1
nose,nostril,1
nose,face,1
nose,beak,1
nose,muzzle,1
nose,front part,1
nose,corner,1
nose,mountain,1
nose,sense of smell,1
nose,informer,1
nose,beginning,1
nose,snot,1
ear,"opening, hole",1
ear,hearing,1
ear,listener,1
throat,ravine,1
throat,branch (of a river),1
throat,mouth (of a river),1
comb (of a bird),comb,1
comb (of a bird),mane,1
comb (of a bird),"mountain ridge, edge",1
comb (of a bird),cap peak,1
mane,"mountain ridge, edge",1
head,headstream,1
head,peak of mountain,1
forelock,hill,1
foot/leg,mouth (of a river),1
back of the head,hill,1
crown of the head,peak of mountain,1
neck,mountain pass,1
eyebrow,hill,1
hand/arm,branch (of a river),1
lip,edge,1
chest (body part),mountain slope,1
tongue (body part),"salient part, ledge",1
tongue (body part),mattress,1
forehead,mountain slope,1
forehead,"salient part, ledge",1
brain (cerebrum),liquid,1
rib,"mountain ridge, edge",1
rib,mountain slope,1
flank (body part),mountain slope,1
back (body part),plateau,1
tooth,"salient part, ledge",1
elbow,bend (of a river),1
horn,peak of mountain,1
horn,cape,1
horn,ravine,1
hair,head,1
head,forehead,1
nail (body part),finger/toe,1
hand/arm,finger/toe,1
belly,torso,1
skin (of a person),torso,1
to pay,to revenge,1
heat,thirst,1
heel (of a foot),heel (of a shoe),1
"narrow, close",difficult,1
<pocket>,wealth,1
heavy (of weight),"stuffy, close",1
"<going, walking>",toilet,1
granule,small quantity of something,1
garbage,large quantity,1
"cunning, sly","devil, satan",1
snake,"guileful, crafty person",1
"herald, messenger",matchmaker,1
history,"event, occurrence",1
hot,hoarse,1
to heat up,"to beat, hit",1
"to mix, stir",to confuse (with),1
hand/arm,handful,1
woman,person,1
man,person,1
torso,person,1
to come,to reach a state,1
to come,must,1
to enter,to begin (tr.),1
to go out,to result in,1
to go up,to begin (tr.),1
to transit,to become,1
to come,to begin,1
boy,son,1
girl,daughter,1
to disappear,to spoil (intr.),1
sky,year,1
<crockery>,face,1
cold (adj.),unpleasant,1
hyena,old (vs. young),1
poor,unhappy,1
"missing, failing",stupid,1
dog,bad person,1
dog,Arctic fox,1
pleasure,benefit,1
<wooden object>,fool,1
house,family,1
to fall down,to fail,1
foot/leg,cock (of a gun),1
sharp point,boss,1
hook,fang,1
hook,claw,1
substance,"wood, timber",1
tree,firewood,1
tree,"wood, timber",1
tree,forest,1
"wood, timber",forest,1
firewood,"wood, timber",1
road,sea,1
to kill,to sow,1
to heat up,"to weaken, loosen",1
beak,cock (of a gun),1
ray,chain (n.),1
to extinguish,to lose,1
news,bribe,1
fang,maple (Acer),1
soft (adj.),weak,1
throat,cock (of a gun),1
person,other`s,1
"to pull, to draw",to weigh (intr.),1
blood vessel,string (of a musical instrument),1
sky,palate,1
to throw,to shear,1
ashes,sawdust,1
dandruff,bran,1
centre,loins,1
to howl,"to cry, weep",1
shame,defect,1
to see/to look at,to have an appearance,1
noise,rumour,1
snake,caterpillar,1
worm,intestinal worm,1
cattle,bad person,1
bitter,poison,1
glass (material),window,1
sky,frost,1
to stand up,to wake up (intr.),1
word,speech,1
to become visible,to come,1
robbery,greediness,1
top,North,1
lower part,south,1
empty,in vain,1
to ripen,to become ready (of food),1
to burn (intr.),to ripen,1
to ripen,to mature,1
distance,interval,1
lion (Panthera leo),monarch,1
"to castrate, geld",to take out,1
to play (intr.),dance (n.),1
to play (intr.),joke,1
"to tear off, peel off",to make empty,1
hand/arm,side (n.),1
hand/arm,kind (n.),1
liquid (adj.),sparse,1
liquid (adj.),weak,1
to eat,to be fed up with,1
to shout,"to cry, weep",1
to tin,"to disgrace, dishonor",1
brave,lavish,1
"to walk, to go","to search, to look for",1
to scratch (when itches),to shave,1
navel,stone (of a fruit),1
to slaughter (cattle),to sweep,1
"sign, designation","betrothal, engagement",1
bad,in vain,1
"to pull, to draw",to compete (with smn.),1
to go away,to finish,1
soul,person,1
breathing,person,1
girl,rheumatic fever,1
doll,rheumatic fever,1
boy,pupil (of an eye),1
pumpkin,head,1
old (vs. new),"firm, solid",1
green,plant (biol.),1
<artiodactyl (even-toed animal)>,woman,1
price,"mark, grade (at school)",1
tailor's thimble,"cupola, dome",1
tailor's thimble,foxglove (Digitalis L.),1
strength,"power, authority",1
strength,violence,1
to swell up,to be angry,1
hoar-frost,dew,1
weather,mood,1
air,"melody, tune",1
rolling-pin,arrow,1
to run,to fly,1
early,shortly,1
frequent,quick,1
to be on good terms (with),to suit (of clothes),1
big,brave,1
"to beat, hit",to shoot,1
"to beat, hit",to kill,1
"to beat, hit",to break (tr.),1
"to beat, hit",to flow,1
"to beat, hit",to win,1
to shoot,to ask (for),1
smoke,dust,1
"board, plank","cover, lid",1
paper,letter (text),1
paper,playing cards,1
paper,document (n.),1
entirely,separately,1
juice,benefit,1
iron,ice-crusted ground,1
seed (n.),tribe,1
bow (weapon),clavicle,1
strong (of liquid or smell),hot-tempered,1
stick (n.),habit,1
to burn (intr.),to itch,1
in front of,before,1
"to stick (to a surface), to adhere","to fight, scuffle",1
behind,after,1
wing,spoke,1
big,elder,1
big,boss,1
"firm, solid",greedy,1
"firm, solid",strong (of liquid or smell),1
"firm, solid",loud,1
"firm, solid",closed,1
glass (material),bottle,1
evil (adj.),strong,1
"cavity, hollow",armpit,1
shoulder,hill,1
to turn round,to heal (of a wound),1
to fall down,to harness,1
bottom,buttock,1
to measure,to imitate,1
chopped billet,base for beheading,1
bead,spider,1
circle,knee,1
curved,wrong,1
torso,wall,1
to rotate (tr.),"to castrate, geld",1
heavy (of weight),expensive,1
"to beat, hit",to milk,1
to lead,to behave,1
to lead,"to govern, control, rule",1
to lead,to cause,1
"branch, twig",tribe,1
above,additional,1
to weigh (intr.),to think,1
tongue (body part),speech,1
to disappear,to die,1
to see/to look at,to understand,1
to see/to look at,to meet,1
road,"manner, way",1
to blow,to breathe,1
"to search, to look for",to want,1
leaf,sheet of paper,1
to carry,to endure,1
"to raise, lift (tr.)",to finish,1
"to bend, bow (intr.)",to be disposed towards,1
"spot, stain",place,1
to sit,"to inhabit, live",1
to lose one's way,"to err, be wrong",1
to fill (tr.),to carry out,1
"to turn, rotate (intr.)",to feel dizzy,1
"paint, dye (n.)",colour,1
"to braid, plait, weave",to tell lie,1
to taste,to feel (an emotion),1
sour,angry,1
bitter,sorrowful,1
bitter,angry,1
"brilliant, glaring",white,1
dark (adj.),incomprehensible,1
white,clean (adj.),1
"brilliant, glaring",glad,1
"to wet, moisten",to dye,1
to throw,"to accuse, blame",1
"to shine, glitter",to become visible,1
"to shine, glitter",to see/to look at,1
to know,to copulate,1
to cut (tr.),to decide,1
womb,to feel pity,1
nose,end,1
bone,great,1
"joint, articulation",tribe,1
to judge,"to govern, control, rule",1
to burn (intr.),angry,1
"brilliant, glaring",clever,1
to fall asleep,to die,1
honey,sweet (taste),1
to press down,to oppress,1
to breathe,wind,1
soft (adj.),smooth,1
wet,good,1
"hard, solid",strong,1
flat (adj),simple,1
dry,obstinate,1
deaf,stupid,1
"hard, solid",persistent,1
dry,lean,1
time,"one time, once",1
to carry,pregnant,1
healthy,correct (adj.),1
taste,mind (n.),1
ant,to grow numb,1
soot,black,1
blood,red,1
owl,"ugly, unpleasant",1
leaf,green,1
grass,green,1
dry,"hard, solid",1
dry,having no milk,1
"rough, uneven","rude, impolite",1
"rough, uneven",difficult,1
wine,<colour>,1
earth,red,1
earth,dark (adj.),1
wax,yellow,1
white,milk,1
egg,white,1
white,poplar (Populus alba),1
"brilliant, glaring",moon,1
taste,aesthetic perception,1
to taste,"to check, test",1
to tread,to oppress,1
to tread,to destroy,1
yellow,gold,1
worm,red,1
to mill,"little, small",1
saffron (Crocus sativus),yellow,1
to tan (hides),red,1
to tan (hides),brown,1
"brilliant, glaring","spot, stain",1
to hold (in hands),to contain,1
to take,to marry,1
to eat,to destroy,1
<weapon>,war,1
to grow (plants),"to shine, glitter",1
"to shine, glitter",to shout,1
light (of colour),morning,1
dark (adj.),to hide (tr.),1
white,leprosy,1
guest,merchant,1
hump (of a person or camel),hill,1
head,hill,1
mountain,forest,1
ram,snipe (Gallinago),1
to speak,to practice witchcraft,1
to fall down,"to fade, lose colour",1
to be at war,to quarrel,1
to fall down,to strike (of lightning),1
"wizard, magician",physician,1
evening,yesterday,1
heavy (of weight),important,1
revenge,passion (in game),1
heavy (of weight),pregnant,1
hungry,greedy,1
to transit,to win,1
to turn sour,to grieve (intr.),1
to feed,to bring up,1
moon,month,1
to show (tr.),to teach,1
bee,wasp,1
face,conscience,1
old man,husband,1
west,right side,1
head,beginning,1
loins,mountain foot,1
bad,good,1
blunt,stupid,1
to salt,to quarrel,1
quick,hot-tempered,1
belly,inside,1
hot,fever,1
hot,passionate,1
to put,to leave,1
old woman,wife,1
"hard, solid",severe,1
black,lovely,1
black,"vulgar, common",1
black,very,1
cheek-bone,door-post,1
cattle,"property, possessions",1
to nomadize,to make a move (in a game),1
to fall down,to be keen of,1
south,front part,1
back (body part),basis,1
good shooter,clever,1
sad,very,1
to burn (intr.),to incur losses,1
"bile, gall",anger,1
sharp,acute (of sound),1
back (body part),"mountain ridge, edge",1
behind,North,1
bone,kinship,1
liquid (adj.),smooth,1
deep,tall,1
to hold (in hands),to build,1
to stand,to get tired,1
trunk (of a tree),river-bed,1
to blow,to deceive,1
forehead,hill,1
cheek,jaw,1
wing,sail (n.),1
light (of weight),cheap,1
light (of weight),simple,1
short (size),low (size),1
"to smear, anoint","to adorn, decorate",1
air,wind,1
left,clumsy,1
left,impolite,1
right (vs. left),polite,1
right (vs. left),south,1
left,south,1
rice,food,1
mole (Talpa),mouse,1
"to smell, scent",to kiss,1
to make scratches,"to draw, paint",1
"to draw, paint",to write,1
here,now,1
there,then,1
tall,loud,1
left,North,1
"to raise, lift (tr.)",to build,1
to be born,to happen,1
to hide (tr.),"to hug, embrace",1
to find,to know,1
"naked, bare",bald,1
left,east,1
cheek,face,1
barley,sty (on the eye),1
doll,chrysalis,1
beetle,"freak, oddity",1
sweet (taste),own (of a relative),1
to fall down,case (grammar),1
heart,mountain,1
heart,centre,1
man,husband,1
to fall down,to happen,1
healthy,big,1
low (size),quiet (vs. loud),1
left,wrong,1
"fearful, dreadful",very,1
"fearful, dreadful",big,1
raw,"hard, solid",1
to burn (intr.),to grieve (intr.),1
meaningless,left,1
to take,to buy,1
button (on a dress),push button,1
sharp point,mountain,1
deep,rich,1
acorn,date (Phoenix dactylifera),1
horse (Equus caballus),big,1
to bite,to grieve (tr.),1
to tame,to kill,1
evening,west,1
neck,"mountain ridge, edge",1
to see/to look at,to hear / to listen,1
sharp,angry,1
"country, land","people, nation",1
to sink into,to set (of heavenly bodies),1
affair,battle,1
mouse,muscle,1
fish,muscle,1
to ask (for),"to ask, inquire",1
other,hostile,1
other,left,1
good,very,1
to possess,"to be, exist",1
another,friend,1
woman,wife,1
to stand,to cost,1
bad,evil (adj.),1
to strain,to intend,1
to strain,to understand,1
tail,queue,1
snake,queue,1
to stand up,"to revolt, rebel",1
"to mix, stir","to revolt, rebel",1
to fall down,to die,1
thread,wire (n.),1
<vessel>,head,1
to hit the target,to guess,1
bad,lean,1
to move quickly,to flow,1
to hope,to wait,1
to speak,to show (tr.),1
"to slow, linger","to inhabit, live",1
to see/to look at,"to search, to look for",1
wet,warm,1
"sack, bag",scrotum,1
to see/to look at,to like,1
to thrust (into),to practice witchcraft,1
to push,to hint,1
to see/to look at,to intend,1
to see/to look at,to have experience,1
to know,to understand,1
to wave (of water),"to worry, be agitated",1
to blossom,to succeed,1
to heat up,to deceive,1
to throw,to run,1
to throw,"to spring, jump",1
key (of a door),clavicle,1
trunk (of a tree),barrel (of a gun),1
"to turn, rotate (intr.)",neck,1
blue,pigeon (Columba),1
light (of weight),lung,1
mat,whore,1
head,boss,1
sun,day,1
saddle,saddleback,1
pimple,bud (of a flower),1
vessel,blood vessel,1
to press down,to print,1
to weaken (intr.),to get drunk,1
"to walk, wander",to fornicate,1
to come,to think,1
backwards,again,1
to think,to grieve (intr.),1
straight,honest,1
chest (body part),memory,1
puppy (of a dog),bud (on a twig),1
root (of a plant),blood vessel,1
spleen (anat.),honeycomb,1
price,honour,1
squirrel (Sciurus),<money>,1
tongue (body part),captive,1
brain (cerebrum),marrow,1
mushroom,pig`s snout,1
mushroom,"false, untrue",1
insect,wolf (Canis lupus),1
corner,jaw,1
hammer,tooth,1
cotton,paper,1
to stink,to quarrel,1
"instrument, tool",weapon,1
healthy,intact,1
healthy,sober,1
attentive,sober,1
mute,stupid,1
greedy,deaf,1
"to spring, jump",to dance,1
to defecate,to spawn,1
"to drive, to force to move on",to drive (the car),1
to drag,to steal,1
side (n.),"country, land",1
side (n.),cheek,1
side (n.),page,1
side (n.),political party,1
midnight,North,1
berry,<berry>,1
seagull,lapwing (Vanellus),1
mind (n.),memory,1
sky,by heart,1
black cloud,hail,1
black cloud,rainbow,1
"lead, plumbum",tin (n.),1
smell,stench,1
"box, container",coffin,1
berry,cheek,1
buttock,cheek,1
berry,buttock,1
hen,whore,1
dog,whore,1
dark (adj.),ignorant,1
rooster,cock (of a gun),1
to bind,to oblige,1
to reach,to be enough,1
to feel,to hear / to listen,1
to feel,"to smell, scent",1
to see/to look at,to know,1
cat,catkin,1
"to walk, wander","to ferment, yeast",1
light (n.),world,1
direction,"sense, perception",1
to be born,"people, nation",1
to shine,to seem,1
"to check, test",to feel (an emotion),1
greasy,fat (adj.)(of a person),1
lean,fatless,1
nail (body part),nail (metal spike),1
pelican (Pelecanus),heron,1
ram,brave person,1
servant,Jack (playing card),1
ear,cock (of a gun),1
bride,doll,1
girl,doll,1
"to untie, unbind",to solve (a problem),1
bride,daughter-in-law,1
to want,"to ask, inquire",1
to be guilty,to be in debt,1
to die,to want,1
to fly away,to feel pleasure,1
mouse,bat (Microchiroptera),1
to speak,rumour,1
sea,lake,1
heavy (of weight),bad,1
heavy (of weight),very,1
"to grasp, seize",to be enough,1
funny,strange,1
to change (tr.),strange,1
soft (adj.),tender (adj.),1
thin (of an object),high-pitched,1
to finish,to kill,1
"to smear, anoint","to beat, hit",1
"to smear, anoint",to spit,1
"to smear, anoint",to bribe,1
light (of colour),glad,1
to neigh,to laugh,1
proud,insolent,1
smooth,bald,1
taste,smell,1
taste,inclination to smth,1
to put into,to bribe,1
to knock,"to inform, let know",1
to bark (of a dog),to quarrel,1
root (of a plant),basis,1
nail (body part),claw,1
coal,anthrax,1
mask,larva,1
paw,five-finger (Potentilla),1
near,close (of relations),1
"to soil, make dirty","to disgrace, dishonor",1
"spot, stain",disgrace,1
to shave,to draft (for the army),1
milk,"milk-tooth, deciduous tooth",1
milk,spurge (Euphorbia),1
coal,smut (plant disease),1
black,smut (plant disease),1
to open (tr.),"to learn, find out",1
to fall down,to flow into,1
quiet (vs. loud),slow (adj.),1
to sow,to drop (of liquid),1
"to go apart, in various directions",to spread (intr.),1
earring,catkin,1
green,young,1
to bridle,to subjugate,1
"wild, untamed",wild (of a person),1
square (of a town),vulgar,1
nettle (Urtica),"medusa, jellyfish",1
to hear,rumour,1
round (adj.),entire,1
calm,dead (adj.),1
cold (adj.),indifferent,1
brushwood,garbage,1
fox (Vulpes vulpes),cunning person,1
to cool down (intr.),to calm down,1
red,<disease>,1
low (location),bad (ethically),1
"to mix, stir",to hinder,1
mortal,person,1
to want,to hunt,1
salt,sea,1
"people, nation",army,1
horse (Equus caballus),<orthopteran>,1
head,tadpole,1
spoon,tadpole,1
<foreigner>,cockroach,1
to ripen,to become unavoidable,1
"to spring, jump",frog,1
to work,to plough,1
to suffer,to work,1
to work,to give birth,1
to chew,bit (part of horse harness),1
to tremble,to fear,1
to speak,to give orders,1
to give,to let,1
bearded man,man,1
heart,location of emotions,1
pain,very,1
height (of a person),age,1
to see/to look at,to be surprised,1
to cut (tr.),"to calculate, count",1
to see/to look at,to envy,1
to flow,island,1
crane (Grus),cranberry (Oxycoccus),1
to burn (intr.),distilled alcohol,1
to hold (in hands),to have opinion,1
sediment,something bad,1
sediment,lumpen,1
